,title,min_salary,max_salary,currency,href,site
74,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901528?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
75,Junior DevOps инженер / Operations engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51640449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
76,Junior Application Security Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52549255?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
77,Junior Devops,120000,180000,руб.,https://saratov.hh.ru/vacancy/52253783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
78,Junior QA engineer,1000,NaN,USD,https://saratov.hh.ru/vacancy/52249849?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
79,Разработчик на R / Java / C / Python (Дальний Восток или Сибирь) / Удаленно,100000,200000,руб.,https://saratov.hh.ru/vacancy/52384970?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
80,Junior Backend developer,40000,60000,руб.,https://saratov.hh.ru/vacancy/47003869?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
81,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901525?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
82,Junior C++ SW Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49439524?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
83,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901526?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
84,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901516?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
85,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50670673?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
86,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901546?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
87,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901543?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
88,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50670672?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
89,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901532?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
90,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901545?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
91,Младший программист Python,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52167806?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
92,Junior Python разработчик (роботы),35000,45000,руб.,https://saratov.hh.ru/vacancy/52123629?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
93,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901538?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
94,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901535?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
95,Junior ML Engineer в команду Backoffice,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/48004145?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
96,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901550?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
97,Junior QA Automation Engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52341065?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
98,Junior-Middle C/C++ Developer (Remote),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52163922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
99,Junior-разработчик в техгруппу поддержки Медиасервисов,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51901527?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
100,Junior DevOps инженер,NaN,130000,руб.,https://saratov.hh.ru/vacancy/52129801?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
101,Junior Data scientist,100000,150000,руб.,https://saratov.hh.ru/vacancy/51632135?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
102,Junior DevOps инженер,NaN,130000,руб.,https://saratov.hh.ru/vacancy/52129800?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
103,Аналитик данных (junior),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52221335?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
104,DevOps инженер (Junior),170000,NaN,руб.,https://saratov.hh.ru/vacancy/52069581?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
105,Junior Data Scientist,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51000491?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
106,Разработчик (junior),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50211674?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
107,Junior Elixir developer,NaN,130000,руб.,https://saratov.hh.ru/vacancy/52233254?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
108,Junior Devops engineer,80000,120000,руб.,https://saratov.hh.ru/vacancy/52118447?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
109,Junior Devops engineer,80000,120000,руб.,https://saratov.hh.ru/vacancy/52118448?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
110,Разработчик (junior),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/50211675?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
111,Junior разработчик NodeJS,70000,NaN,руб.,https://saratov.hh.ru/vacancy/52254236?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
112,Эксперт-преподаватель по Python (Алгоритмы и структуры данных),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51111356?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
113,Junior ML engineer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52061127?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
114,Junior Backend developer в Travel Tech,60000,100000,руб.,https://saratov.hh.ru/vacancy/48120169?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
115,Junior Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52096682?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
116,Junior Python Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51930479?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
117,Начинающий разработчик продуктов цифровой фабрики / Junior Digital Factory Product Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52344345?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
118,Automation QA Engineer/Junior (Erp.aero),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52544554?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
119,Automation QA Engineer/Junior,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52544553?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
120,Junior DS Управление ML,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/49996930?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
121,Junior PHP распрацоўшчык,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52180433?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
122,Junior Data Analyst (HR),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51980314?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
123,Junior DevOps Engineer (Trainee/Students Lab),NaN,NaN,NaN,https://saratov.hh.ru/vacancy/52237291?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
124,Python-разработчик в области AI/ML,80000,150000,руб.,https://saratov.hh.ru/vacancy/52158777?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
125,Junior/Middle Python Developer,NaN,NaN,NaN,https://saratov.hh.ru/vacancy/51810041?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
